city,country,Temperature,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind_speed
Castelsarrasin,FR,2.46,4.13,-2.09,81,1031,Clear,07:22 AM,04:51 PM,0.57
Vallabrix,FR,3.84,4.42,3.2,76,1029,Clear,07:09 AM,04:37 PM,7.13
Lussolle,FR,-0.39,2.31,-2.45,92,1031,Clear,07:27 AM,04:56 PM,1.35
Pontenx-les-Forges,FR,1.66,2.9,-1.86,91,1032,Clear,07:32 AM,04:59 PM,2.11
Pontenx-les-Forges,FR,1.62,2.97,-1.79,91,1032,Clear,07:32 AM,04:59 PM,2.11
Saint-Trosse,FR,1.66,2.8,-1.96,92,1032,Clear,07:32 AM,04:59 PM,1.98
Arrondissement de Périgueux,FR,0.46,2.31,-1.17,76,1030,Clear,07:28 AM,04:50 PM,3.39
Arrondissement de La Tour-du-Pin,FR,-0.12,1.39,-3.38,97,1033,Clouds,07:09 AM,04:29 PM,0.61
Four,FR,1.24,1.98,-1.64,87,1033,Clouds,07:10 AM,04:30 PM,2.57
Corent,FR,1.63,1.63,1.63,80,1034,Clouds,07:19 AM,04:38 PM,1.54
